customer_id,year_of_birth ,educational_level,marital_status,annual_income,purhcase_date,recency,online_purchases,store_purchases,complaints,calls,intercoms
20201749,1996,Graduation,Relationship,,10/14/2014,19,11,12,3,3,2
20201750,1942,High School,Divorced,40606.0,5/22/2014,86,9,6,4,4,11
20201751,1976,PhD,Single,45815.0,6/9/2014,69,12,4,0,3,11
20201752,1990,PhD,Married,30821.0,5/24/2014,66,10,0,0,3,2
20201753,1946,PhD,Relationship,59234.0,6/23/2014,94,21,11,0,3,2
20201754,1960,Graduation,Widowed,45702.0,8/16/2012,47,15,8,0,3,11
20201755,1948,Master,Married,68969.0,7/17/2013,39,7,12,0,6,11
20201756,1978,Graduation,Married,47879.0,5/16/2014,68,7,6,4,5,11
20201757,1957,PhD,Widowed,72767.0,10/12/2013,33,26,1,0,4,11
20201758,1943,Graduation,Divorced,63362.0,6/3/2013,13,24,5,0,3,11
20201759,1964,Graduation,Single,,4/11/2012,84,7,1,0,4,11
20201760,1999,Graduation,Widowed,75703.0,12/14/2013,54,12,0,3,4,7
20201761,1953,Graduation,Married,66284.0,9/18/2013,7,26,13,2,3,7
20201762,1989,Graduation,Divorced,96193.0,4/21/2013,79,1,6,4,3,11
20201763,1997,Graduation,Single,45858.0,1/21/2013,87,11,12,2,4,11
20201764,1948,High School,Single,53149.0,7/5/2013,14,9,1,0,4,2
20201765,1965,Graduation,Married,75531.0,7/16/2012,87,11,12,0,6,11
20201766,1992,Graduation,Relationship,28847.0,4/20/2012,19,10,13,1,3,7
20201767,1941,Master,Married,71754.0,3/5/2014,54,14,13,0,4,11
20201768,1959,Master,Married,58590.0,8/3/2013,93,15,1,1,3,11
20201769,1967,Graduation,Married,38677.0,5/12/2012,20,16,12,0,3,11
20201770,1986,Graduation,Divorced,31554.0,10/1/2014,29,25,10,0,3,11
20201771,1999,PhD,Widowed,41913.0,7/21/2013,24,1,4,0,3,7
20201772,1946,Graduation,Married,,4/9/2013,82,17,13,1,3,11
20201773,1983,High School,Divorced,44657.0,4/9/2012,63,11,4,2,3,11
20201774,1947,Master,Relationship,61338.0,8/4/2014,74,18,6,0,4,11
20201775,1986,Graduation,Divorced,44855.0,8/3/2013,57,25,0,0,4,11
20201776,1974,Graduation,Single,72825.0,2/17/2013,8,22,7,0,3,11
20201777,1953,High School,Married,76899.0,2/2/2014,90,17,2,0,6,11
20201778,1956,PhD,Married,71135.0,3/24/2013,62,16,3,0,3,11
20201779,1975,PhD,Married,55460.0,12/1/2013,29,5,8,0,3,2
20201780,1989,PhD,Married,17130.0,12/8/2012,74,24,3,0,4,2
20201781,1979,PhD,Relationship,41445.0,3/13/2013,17,14,9,0,3,11
20201782,1943,High School,Married,49869.0,1/23/2012,66,2,11,0,3,11
20201783,1941,High School,Married,38592.0,3/15/2013,6,5,4,0,3,11
20201784,1945,Master,Divorced,49907.0,6/8/2014,58,2,6,0,3,7
20201785,1993,PhD,Married,76151.0,8/12/2013,69,0,3,0,5,11
20201786,1981,Master,Relationship,27313.0,12/22/2013,28,12,13,0,3,11
20201787,1943,PhD,Divorced,79175.0,10/12/2012,62,27,0,1,3,11
20201788,1993,PhD,Married,65271.0,6/14/2013,41,20,8,0,3,11
20201789,1968,Graduation,Relationship,56023.0,5/15/2013,69,25,3,0,4,11
20201790,1957,Master,Divorced,41296.0,4/15/2014,82,13,8,0,3,11
20201791,1965,Master,Divorced,,3/9/2012,90,12,5,1,4,11
20201792,1983,PhD,Married,,4/19/2014,84,26,0,3,3,11
20201793,1973,Master,Married,,7/26/2014,41,3,11,2,3,11
20201794,1949,PhD,Relationship,75064.0,1/20/2013,49,6,2,2,3,11
20201795,1975,Graduation,Single,30906.0,7/22/2014,91,21,10,0,3,11
20201796,1953,Graduation,Married,43711.0,1/8/2013,49,9,1,1,3,7
20201797,1970,Graduation,Single,58497.0,2/21/2013,76,6,8,1,3,7
20201798,1987,Graduation,Relationship,47507.0,4/19/2013,71,20,11,0,6,11
20201799,1954,Graduation,Married,23220.0,1/6/2013,3,14,0,0,3,11
20201800,1947,PhD,Relationship,42133.0,11/20/2013,10,14,12,0,4,11
20201801,1953,Graduation,Divorced,81266.0,12/25/2013,98,3,13,4,3,7
20201802,1962,PhD,Relationship,43150.0,11/19/2013,89,22,8,0,3,11
20201803,1999,Graduation,Widowed,49548.0,11/4/2013,35,22,8,2,3,11
20201804,1996,PhD,Relationship,34822.0,9/23/2012,80,5,7,0,6,7
20201805,1979,Graduation,Relationship,60816.0,12/7/2014,2,23,7,0,3,11
20201806,1960,Graduation,Married,53727.0,6/28/2014,24,19,10,0,3,2
20201807,1955,Graduation,Divorced,40870.0,1/28/2013,74,25,13,0,3,11
20201808,1984,PhD,Married,32430.0,1/4/2012,38,4,11,3,3,11
20201809,1957,Graduation,Single,73068.0,6/22/2014,22,19,0,1,3,7
20201810,1986,High School,Divorced,27917.0,4/12/2014,26,11,10,0,3,11
20201811,1992,Graduation,Divorced,59557.0,4/13/2014,43,0,7,3,3,11
20201812,1963,Graduation,Married,19692.0,11/3/2013,55,27,9,0,3,11
20201813,1965,High School,Divorced,62608.0,6/22/2013,39,7,13,5,4,7
20201814,1964,PhD,Relationship,66554.0,12/12/2012,91,0,2,0,3,7
20201815,1999,Graduation,Divorced,68422.0,11/2/2012,29,4,10,0,3,7
20201816,1999,PhD,Relationship,49582.0,7/24/2014,20,21,6,0,3,11
20201817,1999,PhD,Relationship,75760.0,9/2/2014,91,5,10,0,4,11
20201818,1984,Master,Widowed,86617.0,10/27/2013,41,20,0,0,3,11
20201819,1980,Graduation,Divorced,47176.0,5/23/2014,54,2,0,1,3,11
20201820,1968,Graduation,Relationship,45235.0,9/9/2013,20,14,9,3,3,11
20201821,1954,PhD,Widowed,54238.0,4/1/2013,19,4,12,2,3,11
20201822,1984,Master,Widowed,44835.0,10/8/2013,84,27,4,0,3,11
20201823,1940,PhD,Single,42642.0,2/23/2014,99,23,4,0,4,7
20201824,1964,Graduation,Married,43949.0,3/6/2012,66,13,7,0,5,11
20201825,1946,PhD,Married,77736.0,11/6/2014,30,17,6,0,4,7
20201826,1948,Master,Single,63578.0,1/22/2014,53,15,7,1,3,2
20201827,1963,Graduation,Divorced,44786.0,6/25/2012,34,5,5,0,3,11
20201828,1940,Graduation,Relationship,15173.0,6/18/2013,22,24,5,0,3,11
20201829,1983,PhD,Relationship,,1/17/2014,67,23,1,0,3,7
20201830,1947,Graduation,Single,59551.0,11/12/2013,6,13,5,5,3,11
20201831,1963,Graduation,Relationship,20177.0,3/6/2014,79,26,4,0,4,11
20201832,1950,Graduation,Divorced,56395.0,5/26/2014,27,23,12,0,3,11
20201833,1990,Graduation,Relationship,36017.0,3/27/2013,10,7,2,0,3,2
20201834,1956,Graduation,Widowed,,10/8/2013,73,6,5,0,3,7
20201835,1947,High School,Divorced,52958.0,3/19/2014,97,7,7,0,3,11
20201836,1974,Master,Married,53809.0,10/28/2013,96,12,8,0,3,11
20201837,1974,Graduation,Relationship,46084.0,3/10/2012,48,5,0,2,5,11
20201838,1972,High School,Married,45591.0,5/1/2012,70,17,2,0,3,11
20201839,1998,PhD,Single,41188.0,5/25/2013,59,1,2,1,4,7
20201840,1944,Graduation,Relationship,59258.0,4/13/2014,59,7,10,5,4,7
20201841,1981,Graduation,Married,64078.0,1/17/2014,2,10,7,2,4,11
20201842,1978,Graduation,Relationship,33715.0,5/3/2013,29,0,0,0,3,7
20201843,1997,Graduation,Married,51226.0,10/8/2012,68,21,4,0,3,11
20201844,1980,PhD,Relationship,54949.0,5/14/2013,65,5,2,1,3,11
20201845,1967,PhD,Married,54757.0,4/3/2014,83,15,1,1,4,2
20201846,1946,Graduation,Widowed,54502.0,6/16/2012,26,26,7,0,3,7
20201847,1948,High School,Relationship,45969.0,10/13/2013,89,19,2,1,5,11
20201848,1947,Master,Single,56185.0,4/20/2012,10,11,6,0,3,7
20201849,1951,Graduation,Divorced,61270.0,7/24/2013,53,10,11,0,3,7
20201850,1973,High School,Widowed,54116.0,7/17/2014,79,26,10,0,3,11
20201851,1972,High School,Married,59589.0,2/13/2013,59,9,0,0,3,11
20201852,1987,High School,Single,66855.0,3/6/2013,22,2,5,0,3,7
20201853,1994,Graduation,Married,24236.0,1/17/2013,51,12,2,1,4,11
20201854,1962,Master,Divorced,66152.0,8/14/2014,48,26,7,0,4,11
20201855,1963,PhD,Relationship,57136.0,9/17/2012,21,2,5,0,5,11
20201856,1976,Master,Divorced,35326.0,4/8/2013,22,14,11,0,5,11
20201857,1974,High School,Married,64037.0,6/11/2013,98,15,1,0,5,11
20201858,1983,PhD,Married,46025.0,9/20/2014,30,12,5,0,3,11
20201859,1979,Master,Divorced,48071.0,6/28/2013,25,16,6,1,4,7
20201860,1961,Master,Married,44385.0,12/1/2012,28,2,4,2,3,2
20201861,1966,Master,Single,56536.0,12/26/2013,65,19,2,2,3,11
20201862,1974,Graduation,Widowed,40220.0,12/7/2014,45,10,3,1,4,11
20201863,1940,Graduation,Divorced,65522.0,9/21/2012,68,26,3,0,3,7
20201864,1974,Graduation,Divorced,49917.0,4/21/2014,7,20,5,0,3,11
20201865,1976,Master,Relationship,46537.0,8/17/2012,49,18,9,0,3,11
20201866,1986,Graduation,Divorced,63293.0,9/10/2013,9,21,0,0,3,11
20201867,1953,PhD,Relationship,47207.0,4/11/2013,36,10,10,5,6,11
20201868,1942,Graduation,Married,66223.0,5/22/2014,83,27,3,0,3,11
20201869,1940,PhD,Single,66694.0,8/9/2013,1,15,9,0,3,2
20201870,1944,Master,Married,31978.0,12/9/2014,10,20,12,4,3,2
20201871,1965,Master,Married,68639.0,10/24/2014,36,2,3,4,3,11
20201872,1994,Graduation,Relationship,30069.0,6/5/2013,73,21,9,2,6,2
20201873,1953,High School,Single,69574.0,12/17/2014,46,5,0,0,3,11
20201874,1978,PhD,Single,82425.0,7/9/2014,32,13,8,0,3,11
20201875,1966,Graduation,Married,65123.0,3/17/2012,32,23,3,0,4,11
20201876,1948,Master,Married,19645.0,7/24/2013,6,17,6,0,6,7
20201877,1954,Graduation,Relationship,67953.0,12/21/2014,48,16,11,0,4,7
20201878,1954,Graduation,Married,85692.0,8/19/2012,38,3,13,0,5,11
20201879,1965,Master,Divorced,47455.0,10/27/2014,17,22,2,4,3,11
20201880,1981,Graduation,Married,51479.0,6/7/2014,74,14,9,0,3,11
20201881,1999,Graduation,Divorced,34173.0,10/23/2012,27,10,11,1,3,11
20201882,1952,Graduation,Relationship,56681.0,9/9/2013,54,25,2,1,5,11
20201883,1990,Graduation,Married,71038.0,6/7/2013,50,2,13,0,3,11
20201884,1971,Graduation,Relationship,62466.0,12/13/2013,35,2,7,1,3,7
20201885,1978,PhD,Married,99130.0,9/11/2012,85,15,7,0,3,7
20201886,1988,Master,Married,52495.0,4/14/2012,25,4,10,0,3,11
20201887,1991,Master,Widowed,27540.0,8/19/2013,28,20,11,2,3,11
20201888,1971,Master,Single,54565.0,11/11/2014,15,9,0,0,6,11
20201889,1943,Master,Single,15753.0,4/13/2014,4,18,9,5,3,11
20201890,1969,PhD,Relationship,44003.0,2/14/2013,93,24,1,0,4,11
20201891,1976,Graduation,Single,76366.0,10/13/2012,73,3,7,1,4,11
20201892,1962,Graduation,Relationship,56877.0,11/1/2013,27,18,0,0,3,11
20201893,1978,Graduation,Married,54691.0,9/8/2013,26,10,11,0,3,11
20201894,1984,Graduation,Widowed,79312.0,5/12/2014,19,1,7,0,3,11
20201895,1954,PhD,Relationship,47941.0,4/19/2014,92,9,7,1,3,11
20201896,1982,Graduation,Divorced,70927.0,2/12/2014,17,10,1,3,4,11
20201897,1968,Master,Widowed,53940.0,1/8/2014,43,24,3,3,3,7
20201898,1975,High School,Married,57701.0,11/8/2012,41,19,5,0,3,7
20201899,1952,PhD,Widowed,33740.0,7/21/2014,42,15,11,2,3,11
20201900,1971,Graduation,Single,44769.0,6/13/2013,50,18,10,1,6,11
20201901,1946,Graduation,Married,31037.0,2/12/2014,84,22,8,2,5,11
20201902,1998,High School,Married,50571.0,8/16/2013,40,23,7,0,5,11
20201903,1990,High School,Divorced,57856.0,11/1/2014,39,10,11,1,4,11
20201904,1961,Graduation,Single,35349.0,4/13/2014,23,13,7,3,3,11
20201905,1967,PhD,Relationship,82738.0,8/26/2012,96,1,6,0,4,11
20201906,1941,Graduation,Relationship,56172.0,7/7/2013,52,22,13,3,3,11
20201907,1981,Graduation,Widowed,52867.0,5/28/2014,47,27,12,1,4,7
20201908,1984,Graduation,Single,63545.0,10/26/2013,63,4,8,0,4,11
20201909,1996,Graduation,Divorced,39566.0,10/5/2013,97,26,1,0,3,11
20201910,1992,High School,Married,54452.0,12/8/2013,69,4,2,0,4,11
20201911,1945,PhD,Married,41247.0,8/25/2012,43,18,9,0,6,11
20201912,1967,Graduation,Married,75380.0,9/27/2014,48,20,7,3,3,11
20201913,1967,Master,Married,36120.0,5/14/2013,34,11,13,0,5,7
20201914,1983,High School,Relationship,52947.0,10/23/2012,40,17,5,3,3,11
20201915,1983,High School,Divorced,56940.0,5/13/2013,75,3,9,3,3,11
20201916,1959,Graduation,Married,57922.0,2/15/2013,61,21,8,0,3,11
20201917,1969,Graduation,Single,43281.0,5/23/2012,50,16,9,3,3,7
20201918,1950,Graduation,Single,38567.0,3/17/2013,67,9,3,5,6,7
20201919,1997,Graduation,Single,43498.0,7/15/2013,62,19,7,2,5,7
20201920,1994,Graduation,Widowed,59925.0,10/20/2013,58,5,9,2,4,7
20201921,1967,PhD,Single,49842.0,5/18/2014,33,24,2,5,3,2
20201922,1964,Graduation,Single,63943.0,8/18/2013,75,13,2,1,6,11
20201923,1978,Graduation,Married,59155.0,1/2/2013,16,10,7,0,3,7
20201924,1972,Graduation,Relationship,17846.0,3/4/2013,82,10,4,3,5,7
20201925,1940,Graduation,Widowed,55712.0,3/1/2013,94,17,2,1,3,11
20201926,1996,Graduation,Relationship,85757.0,9/4/2013,48,26,9,1,3,7
20201927,1966,Graduation,Divorced,71879.0,5/18/2013,10,22,10,0,4,2
20201928,1996,Graduation,Divorced,58330.0,12/5/2014,82,21,0,2,3,11
20201929,1991,Graduation,Single,36109.0,9/19/2013,38,17,2,0,3,7
20201930,1952,Graduation,Widowed,59163.0,9/15/2013,19,23,11,4,3,11
20201931,1980,PhD,Relationship,63096.0,1/28/2014,36,22,8,0,3,7
20201932,1942,Graduation,Divorced,48194.0,2/8/2013,59,10,4,0,3,11
20201933,1978,Graduation,Relationship,56751.0,5/20/2013,63,20,11,0,3,11
20201934,1945,Graduation,Relationship,74645.0,4/17/2013,77,11,9,0,3,11
20201935,1947,High School,Divorced,39141.0,10/1/2012,46,4,1,1,3,11
20201936,1966,Graduation,Widowed,36126.0,9/12/2014,3,22,6,4,4,11
20201937,1948,PhD,Widowed,62390.0,7/26/2014,74,8,1,3,3,11
20201938,1976,High School,Divorced,58863.0,6/19/2014,65,26,3,0,6,2
20201939,1972,Graduation,Divorced,67433.0,7/15/2013,91,24,11,0,5,11
20201940,1990,Master,Single,60547.0,1/9/2013,8,8,6,3,3,11
20201941,1981,PhD,Divorced,43484.0,1/7/2012,51,21,3,4,4,11
20201942,1983,Graduation,Single,58483.0,8/2/2013,81,9,6,0,5,2
20201943,1963,Graduation,Divorced,34868.0,2/9/2013,73,21,6,0,6,11
20201944,1954,Master,Widowed,48245.0,12/10/2014,6,18,0,0,3,11
20201945,1998,Graduation,Divorced,59542.0,10/2/2013,89,0,5,4,3,7
20201946,1993,High School,Married,46592.0,11/19/2013,39,6,8,1,4,11
20201947,1971,Graduation,Married,89021.0,9/11/2013,60,3,1,0,4,7
20201948,1971,Master,Single,23617.0,7/13/2013,28,0,13,0,4,11
20201949,1963,Graduation,Relationship,43788.0,6/10/2013,97,14,2,4,3,7
20201950,1980,Master,Single,37933.0,1/14/2014,54,7,9,0,5,11
20201951,1991,PhD,Single,41495.0,1/18/2013,37,11,4,0,6,11
20201952,1988,Graduation,Married,42355.0,2/19/2014,9,21,8,1,3,11
20201953,1988,Graduation,Relationship,32104.0,6/22/2013,82,21,3,0,3,11
20201954,1997,Graduation,Relationship,63291.0,6/9/2014,56,17,0,0,3,11
20201955,1991,Graduation,Single,43794.0,2/25/2014,59,14,3,3,5,7
20201956,1951,Graduation,Married,54454.0,1/7/2013,85,16,5,4,4,11
20201957,1978,PhD,Divorced,45478.0,10/28/2013,2,13,4,3,4,7
20201958,1941,PhD,Divorced,41637.0,5/3/2014,61,13,13,4,3,11
20201959,1942,Master,Divorced,77084.0,5/20/2013,58,17,12,1,3,7
20201960,1988,High School,Married,65844.0,2/6/2014,60,19,0,3,3,11
20201961,1976,PhD,Divorced,23977.0,6/27/2012,40,17,3,0,3,11
20201962,1988,Master,Married,22388.0,9/21/2013,36,15,5,1,4,11
20201963,1995,Master,Relationship,67639.0,2/2/2014,37,0,12,5,6,11
20201964,1956,Graduation,Divorced,44202.0,10/6/2014,79,22,9,0,6,7
20201965,1998,Graduation,Married,27264.0,2/3/2013,92,26,9,0,6,11
20201966,1988,Graduation,Married,67686.0,3/16/2014,18,10,13,0,3,11
20201967,1941,Graduation,Divorced,54537.0,7/8/2013,98,14,3,0,3,7
20201968,1941,Graduation,Relationship,55774.0,6/2/2012,63,11,13,0,4,11
20201969,1967,Graduation,Divorced,64143.0,12/17/2013,22,7,8,3,6,11
20201970,1993,Master,Divorced,32350.0,8/9/2013,11,21,4,5,3,11
20201971,1962,Master,Relationship,27527.0,8/12/2014,58,19,7,0,3,11
20201972,1976,Graduation,Divorced,75714.0,6/3/2013,57,5,8,0,3,11
20201973,1971,Graduation,Married,30442.0,12/11/2013,77,2,9,0,4,11
20201974,1972,Graduation,Relationship,33666.0,11/1/2012,4,27,4,4,3,2
20201975,1940,Graduation,Married,36663.0,10/23/2013,86,23,5,0,3,11
20201976,1958,Graduation,Married,83199.0,3/13/2013,7,25,0,0,3,11
20201977,1941,Master,Widowed,59401.0,3/15/2014,61,12,10,0,3,2
20201978,1992,Graduation,Single,66481.0,1/26/2013,54,12,11,0,5,11
20201979,1983,Master,Single,54943.0,7/5/2014,88,1,6,0,3,11
20201980,1965,High School,Married,42972.0,5/21/2014,68,4,3,3,4,11
20201981,1971,Graduation,Widowed,61469.0,4/17/2013,92,16,10,1,4,11
20201982,1945,Master,Single,28651.0,10/25/2014,79,5,1,1,5,7
20201983,1971,PhD,Single,35571.0,4/23/2014,1,1,4,0,3,11
20201984,1994,Graduation,Single,62995.0,4/24/2013,55,3,11,2,6,7
20201985,1943,Graduation,Single,31641.0,6/25/2012,3,21,2,1,3,11
20201986,1994,Master,Single,49164.0,8/6/2013,78,25,5,0,6,11
20201987,1950,PhD,Married,49847.0,8/28/2013,38,10,7,1,6,11
20201988,1995,Master,Divorced,44070.0,5/21/2014,1,7,6,0,3,2
20201989,1998,High School,Married,22733.0,6/22/2013,38,11,2,3,3,11
20201990,1956,PhD,Married,42566.0,4/11/2014,85,7,7,0,3,11
20201991,1977,High School,Single,39625.0,12/18/2013,29,10,1,5,3,7
20201992,1963,PhD,Married,54422.0,11/4/2012,5,21,9,0,3,11
20201993,1944,PhD,Divorced,53657.0,9/3/2014,74,19,8,2,3,11
20201994,1991,PhD,Relationship,57669.0,8/13/2013,92,7,3,1,3,11
20201995,1973,Graduation,Single,41860.0,10/23/2013,21,7,0,2,3,2
20201996,1945,Master,Married,59842.0,12/9/2013,71,25,7,0,3,7
20201997,1961,PhD,Married,28660.0,10/21/2012,67,16,6,0,3,11
20201998,1950,Graduation,Relationship,24671.0,1/6/2013,47,19,10,2,3,11
20201999,1987,High School,Relationship,16966.0,2/26/2013,84,19,12,0,3,7
20202000,1955,Graduation,Divorced,44511.0,9/28/2013,83,22,4,0,3,7
20202001,1972,PhD,Married,40701.0,8/12/2014,35,15,9,1,3,11
20202002,1948,PhD,Widowed,63840.0,3/2/2013,68,13,12,0,5,11
20202003,1999,Master,Single,42270.0,8/3/2013,69,10,4,0,3,2
20202004,1998,Graduation,Single,56101.0,12/3/2013,1,6,6,0,3,11
20202005,1945,Master,Married,64199.0,1/28/2014,68,15,4,0,3,11
20202006,1955,Master,Single,41705.0,10/12/2012,12,12,7,2,5,7
20202007,1968,Graduation,Widowed,56471.0,4/15/2013,60,26,10,1,5,11
20202008,1942,Graduation,Relationship,67029.0,3/9/2012,27,14,12,3,5,11
20202009,1959,PhD,Married,33428.0,6/23/2012,56,23,5,5,4,11
20202010,1999,Graduation,Divorced,52373.0,7/8/2014,23,15,12,0,3,11
20202011,1998,Graduation,Widowed,41769.0,4/11/2014,25,26,4,0,3,11
20202012,1975,PhD,Relationship,34383.0,7/16/2013,21,20,8,0,3,11
20202013,1958,Graduation,Divorced,,9/26/2013,61,22,10,0,6,7
20202014,1965,PhD,Widowed,34140.0,11/27/2013,63,23,1,4,4,11
20202015,1942,Graduation,Widowed,52900.0,2/25/2014,52,8,0,0,4,11
20202016,1958,PhD,Relationship,27837.0,11/22/2014,88,2,7,0,3,7
20202017,1959,Graduation,Single,43739.0,3/4/2013,25,18,11,0,5,7
20202018,1971,PhD,Married,64198.0,5/28/2014,55,19,2,1,3,7
20202019,1946,Graduation,Relationship,58735.0,3/1/2014,46,4,13,1,3,11
20202020,1991,PhD,Married,,11/24/2013,32,9,10,0,3,7
20202021,1980,Graduation,Relationship,77345.0,8/7/2013,55,16,11,5,3,7
20202022,1972,Master,Single,80396.0,12/2/2013,96,14,11,0,3,11
20202023,1979,PhD,Single,52392.0,10/24/2014,5,22,11,0,5,11
20202024,1978,High School,Married,14972.0,8/28/2014,36,24,6,4,3,7
20202025,1957,PhD,Single,65297.0,8/5/2014,49,7,9,0,3,11
20202026,1979,Graduation,Widowed,17590.0,12/7/2014,58,14,12,4,3,11
20202027,1940,Master,Relationship,74142.0,12/4/2013,39,20,10,5,3,11
20202028,1950,Graduation,Relationship,68254.0,9/5/2014,80,13,7,2,5,11
20202029,1967,Graduation,Divorced,78613.0,4/24/2014,97,19,12,2,4,2
20202030,1996,Graduation,Married,55904.0,5/1/2013,85,27,12,0,4,11
20202031,1964,PhD,Divorced,46579.0,5/1/2013,61,6,5,4,5,11
20202032,1989,PhD,Divorced,45248.0,8/15/2014,9,20,11,0,4,2
20202033,1962,Graduation,Divorced,43806.0,7/20/2012,6,22,9,2,3,7
20202034,1970,Master,Married,66716.0,9/19/2014,35,11,13,4,4,11
20202035,1969,Graduation,Divorced,62684.0,8/10/2012,39,16,8,5,3,7
20202036,1981,Graduation,Married,53803.0,2/28/2013,22,16,6,3,3,11
20202037,1974,Graduation,Widowed,41167.0,10/18/2014,41,9,9,0,3,7
20202038,1946,Graduation,Relationship,91438.0,12/28/2013,5,18,4,5,4,11
20202039,1999,Graduation,Married,65686.0,4/3/2013,42,13,7,1,4,11
20202040,1955,PhD,Divorced,28034.0,6/11/2013,87,10,1,4,3,11
20202041,1965,PhD,Relationship,44256.0,12/15/2014,81,1,6,1,4,11
20202042,1987,Graduation,Single,65977.0,2/27/2012,76,17,3,0,6,11
20202043,1996,Graduation,Relationship,40007.0,7/11/2014,87,6,8,0,3,11
20202044,1991,Graduation,Relationship,57273.0,3/17/2012,80,11,11,1,3,11
20202045,1999,Master,Married,66262.0,3/17/2014,67,25,0,2,4,11
20202046,1988,Graduation,Married,10000.0,11/6/2014,30,1,6,0,3,11
20202047,1941,PhD,Married,50379.0,2/5/2013,57,26,5,1,4,11
20202048,1940,High School,Married,50968.0,11/8/2013,86,19,7,0,3,11
20202049,1987,PhD,Single,45819.0,8/2/2013,73,17,4,3,3,11
20202050,1951,High School,Relationship,56525.0,6/16/2013,29,5,0,0,4,7
20202051,1944,Graduation,Single,61863.0,1/20/2012,37,23,0,0,4,11
20202052,1976,Master,Married,54131.0,12/24/2012,87,9,8,0,5,11
20202053,1971,PhD,Widowed,46393.0,1/12/2012,13,19,9,0,5,11
20202054,1998,Master,Relationship,61489.0,7/6/2013,32,14,5,0,4,11
